"PCBWay Bom Quotation, Product No.:T-2D2W400564A",,,,,,,,,,,,
Item #,*Designator,*Qty,Manufacturer,*Mfg Part #,Description / Value,Vendor Part #,*Package/Footprint,*Unit Price(5 sets),*Total,*Delivery Time,*Actual Purchase Mfg Part #,Customer Reply
1,Q4,1,ON,BC847BLT1G,BC847BLT1G,C94393『 』LCSC,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,$0.187,$0.935,,,
2,R28,1,UniOhm,0402WGF2001TCE,2kΩ,C4109『 』LCSC,R0402,$0.022,$0.110,,,
3,OSC,1,ABRACON,ASE-18.432MHZ-LC-T,ASE-18.432MHZ-L-C-T,815-ASE18.432MHZLCT『 』Mouser,ASE18432MHZLCT,$1.638,$8.190,,,
4,"C1,C6,C9,C10,C11,C16,C18,C25,C27,C28,C30,C32,C36,C37,C40,C42,C43,C46,C47,C50,C51,C54,C64",23,SAMSUNG,CL05B104KO5NNNC,100nF,C1525『 』LCSC,C0402_NEW,$0.002,$0.230,,,
5,"C2,C7,C8,C13,C14,C15,C17,C26,C34,C35,C38,C39,C41,C44,C45,C48,C49,C52,C55,C74",20,SAMSUNG,CL05A106MQ5NUNC,10µF,C15525『 』LCSC,C0402,$0.010,$1.000,,,
6,"C5,C20",2,FH,0402CG1R0C500NT,1pF,C1550『 』LCSC,C0402,$0.016,$0.160,,,
7,"C12,C65",2,SAMSUNG,CL05A475MP5NRNC,4.7µF,C23733『 』LCSC,C0402,$0.038,$0.380,,,
8,C19,1,SAMSUNG,CL05B103KB5NNNC,10nF,C15195『 』LCSC,C0402,$0.025,$0.125,,,
9,"C56,C57,C58,C59,C60,C61,C62,C63",8,FH,0402B102K500NT,1nF,C1523『 』LCSC,C0402,$0.003,$0.120,,,
10,C66,1,SAMSUNG,CL05A105KO5NNNC,1µF,C29266『 』LCSC,C0402,$0.071,$0.355,,,
11,C4,1,AVX,TAJA106K016RNJ,10uF,C7171『 』LCSC,CAP-SMD_L3.2-W1.6-R-RD,$0.262,$1.310,,,
12,C33,1,SAMSUNG,CL10B333KB8NNNC,33nF,C21117『 』LCSC,C0603,$0.075,$0.375,,,
13,C53,1,SAMSUNG,CL21B105KBFNNNE,1µF,C28323『 』LCSC,C0805,$0.117,$0.585,,,
14,"C70,C71,C83",3,SAMSUNG,CL21A476MQYNNNE,47µF,C16780『 』LCSC,C0805,$0.092,$1.380,,,
15,"CLAMP1,CLAMP2",2,SEMTECH,UCLAMP0571P.TNT,UCLAMP0571P.TNT,C512387『 』LCSC,SGP1610N2_L1.6-W1.0-P1.1-RD,$0.491,$4.910,,,
16,D1,1,CJ,1N4148WS T4,1N4148WS T4,C2128『 』LCSC,SOD-323_L1.8-W1.3-LS2.5-RD,$0.173,$0.865,,1N4148WS,
17,"D2,D3,D4,D5,D6,D7,D9,D10,D11,D12,D13,D14,D15,D16,D17,D19,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D31,D44,D53,D60,D63,D64,D65,D66,D67,D68,D73,D74,D75,D76,D77,D78,D83,D84,D85,D92",46,Bourne Semicon (Shenzhen),PESD3V3L1BA-N,PESD3V3L1BA-N,C316020『 』LCSC,SOD-323_L1.8-W1.3-LS2.5-BI,$0.060,$13.800,,,
18,D8,1,Bourne Semicon (Shenzhen),0402ESDA-05N,ESD3,C316049『 』LCSC,D0402-BI,$0.247,$1.235,,,
19,"D88,ESD4,ESD-PROT1,ESD-PROT2,ESD-PROT3",5,Bourne Semicon (Shenzhen),0402ESDA-05N,0402ESDA-05N,C316049『 』LCSC,D0402-BI,$0.049,$1.225,,,
20,F1,1,JK(金科),JK-nSMD150/6V,JK-NSMD150/6V,C2830249『 』LCSC,F1206,$0.096,$0.480,,,
21,F2,1,Littelfuse,1206L050YR,1206L050YR,C163512『 』LCSC,F1206,$0.172,$0.860,,,
22,L1,1,TAITEC,HCB3216KF-601T30,HCB3216KF-601T30,C357023『 』LCSC,L1206,$0.150,$0.750,,,
23,"L2,L3",2,MuRata,BLM18KG121TN1D,120Ω ±25%,C85831『 』LCSC,L0603,$0.111,$1.110,,,
24,L4,1,Abracon LLC,AISC-0402-2N0J-T,2nH,C186816『 』LCSC,IND-SMD_L1.2-W0.6,$0.072,$0.360,,,
25,PWR,1,Bright LED Elec,BL-HGE35A-AV-TRB,BL-HGE35A-AV-TRB,C165984『 』LCSC,LED0805-R-RD,$0.273,$1.365,,,
26,Q1,1,CJ,UMH3N,UMH3N,C62892『 』LCSC,SC-70-6_L2.2-W1.3-P0.65-LS2.1-BR,$0.126,$0.630,,,
27,"Q2,Q3",2,Guangdong Hottech,AO3404,AO3404,C192925『 』LCSC,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,$0.132,$1.320,,,
28,R1,1,UniOhm,0402WGF1004TCE,1MΩ,C26083『 』LCSC,R0402,$0.016,$0.080,,,
29,R2,1,UniOhm,0402WGF3300TCE,330Ω,C25104『 』LCSC,R0402,$0.017,$0.085,,,
30,"R3,R15,R16,R19,R20,R53,R87,R88,R93",9,UniOhm,0402WGF1002TCE,10KΩ,C25744『 』LCSC,R0402,$0.002,$0.090,,,
31,"R4,R14,R25,R30,R34,R35,R36,R111,R112,R113",10,UniOhm,0402WGF4701TCE,4.7KΩ,C25900『 』LCSC,R0402,$0.002,$0.100,,,
32,"R5,R21,R24,R26,R27,R29",6,UniOhm,0402WGF2202TCE,22KΩ,C25768『 』LCSC,R0402,$0.002,$0.060,,,
33,"R6,R7",2,UniOhm,0402WGF4700TCE,470Ω,C25117『 』LCSC,R0402,$0.008,$0.080,,,
