ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
1,BC847BLT1G,Q4,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,BC847BLT1G,ON,LCSC,C94393,0.035
2,2k½,R28,R0402,1,0402WGF2001TCE,UniOhm,LCSC,C4109,0.001
3,ASE-18.432MHZ-L-C-T,OSC,ASE18432MHZLCT,1,ASE-18.432MHZ-LC-T,ABRACON,Mouser,815-ASE18.432MHZLCT,
4,AS7C34096A-10TCN,U2,SOP80P1181X120-44N,1,AS7C34096A-10TCN,Alliance Memory,Mouser,913-AS7C34096A-10TCN,
5,100nF,"C1,C6,C9,C10,C11,C16,C18,C25,C27,C28,C30,C32,C36,C37,C40,C42,C43,C46,C47,C50,C51,C54,C64",C0402_NEW,23,CL05B104KO5NNNC,SAMSUNG,LCSC,C1525,0.001
6,10µF,"C2,C7,C8,C13,C14,C15,C17,C26,C34,C35,C38,C39,C41,C44,C45,C48,C49,C52,C55,C74",C0402,20,CL05A106MQ5NUNC,SAMSUNG,LCSC,C15525,0.005
7,1pF,"C5,C20",C0402,2,0402CG1R0C500NT,FH,LCSC,C1550,0.001
8,4.7µF,"C12,C65",C0402,2,CL05A475MP5NRNC,SAMSUNG,LCSC,C23733,0.006
9,10nF,C19,C0402,1,CL05B103KB5NNNC,SAMSUNG,LCSC,C15195,0.001
10,1nF,"C56,C57,C58,C59,C60,C61,C62,C63",C0402,8,0402B102K500NT,FH,LCSC,C1523,0.001
11,1µF,C66,C0402,1,CL05A105KO5NNNC,SAMSUNG,LCSC,C29266,0.003
12,10uF,C4,CAP-SMD_L3.2-W1.6-R-RD,1,TAJA106K016RNJ,AVX,LCSC,C7171,0.098
13,33nF,C33,C0603,1,CL10B333KB8NNNC,SAMSUNG,LCSC,C21117,0.006
14,1µF,C53,C0805,1,CL21B105KBFNNNE,SAMSUNG,LCSC,C28323,0.009
15,47µF,"C70,C71,C83",C0805,3,CL21A476MQYNNNE,SAMSUNG,LCSC,C16780,0.026
16,UCLAMP0571P.TNT,"CLAMP1,CLAMP2",SGP1610N2_L1.6-W1.0-P1.1-RD,2,UCLAMP0571P.TNT,SEMTECH,LCSC,C512387,0.403
17,1N4148WS,D1,SOD-323_L1.8-W1.3-LS2.5-RD,1,1N4148WS,CJ,LCSC,C2128,0.013
18,PESD3V3L1BA-N,"D2,D3,D4,D5,D6,D7,D9,D10,D11,D12,D13,D14,D15,D16,D17,D19,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D31,D44,D53,D60,D63,D64,D65,D66,D67,D68,D73,D74,D75,D76,D77,D78,D83,D84,D85,D92",SOD-323_L1.8-W1.3-LS2.5-BI,46,PESD3V3L1BA-N,Bourne Semicon (Shenzhen),LCSC,C316020,0.051
19,ESD3,D8,D0402-BI,1,0402ESDA-05N,Bourne Semicon (Shenzhen),LCSC,C316049,0.019
20,0402ESDA-05N,"D88,ESD4,ESD-PROT1,ESD-PROT2,ESD-PROT3",D0402-BI,5,0402ESDA-05N,Bourne Semicon (Shenzhen),LCSC,C316049,0.019
21,JK-NSMD150/6V,F1,F1206,1,JK-nSMD150/6V,JK(__),LCSC,C2830249,0.036
22,1206L050YR,F2,F1206,1,1206L050YR,Littelfuse,LCSC,C163512,0.065
23,HCB3216KF-601T30,L1,L1206,1,HCB3216KF-601T30,TAITEC,LCSC,C357023,0.028
24,120½ ±25%,"L2,L3",L0603,2,BLM18KG121TN1D,MuRata,LCSC,C85831,0.017
25,2nH,L4,IND-SMD_L1.2-W0.6,1,AISC-0402-2N0J-T,Abracon LLC,LCSC,C186816,0.224
26,BL-HGE35A-AV-TRB,PWR,LED0805-R-RD,1,BL-HGE35A-AV-TRB,Bright LED Elec,LCSC,C165984,
27,UMH3N,Q1,SC-70-6_L2.2-W1.3-P0.65-LS2.1-BR,1,UMH3N,CJ,LCSC,C62892,0.047
28,AO3404,"Q2,Q3",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,2,AO3404,Guangdong Hottech,LCSC,C192925,0.049
29,1M½,R1,R0402,1,0402WGF1004TCE,UniOhm,LCSC,C26083,0.001
30,330½,R2,R0402,1,0402WGF3300TCE,UniOhm,LCSC,C25104,0.001
31,10K½,"R3,R15,R16,R19,R20,R53,R87,R88,R93",R0402,9,0402WGF1002TCE,UniOhm,LCSC,C25744,0.001
32,4.7K½,"R4,R14,R25,R30,R34,R35,R36,R111,R112,R113",R0402,10,0402WGF4701TCE,UniOhm,LCSC,C25900,0.001
33,22K½,"R5,R21,R24,R26,R27,R29",R0402,6,0402WGF2202TCE,UniOhm,LCSC,C25768,0.001
34,470½,"R6,R7",R0402,2,0402WGF4700TCE,UniOhm,LCSC,C25117,0.001
35,402½,"R8,R12,R13",R0402,3,PTFR0402B402RN9,RESI(_____,LCSC,C2692962,0.079
36,806½,"R9,R10,R11",R0402,3,TC0225B8060TCE,Uniroyal Elec,LCSC,C150511,0.061
37,10½,"R17,R18",R0402,2,0402WGF100JTCE,UniOhm,LCSC,C25077,0.001
